category,part,region,source,scale,Base,ZEB5,ZEB4,ZEB3,ZEB2,ZEB1,ZEB+
열관류율,외벽(벽체),중부1,,,0.17,0.17,0.165,0.159,0.154,0.148,0.148
열관류율,외벽(벽체),중부2,,,0.24,0.234,0.225,0.215,0.202,0.189,0.189
열관류율,외벽(벽체),남부,,,0.32,0.301,0.284,0.266,0.25,0.234,0.234
열관류율,외벽(벽체),제주,,,0.41,0.368,0.357,0.346,0.316,0.285,0.285
열관류율,외벽(지붕),중부1,,,0.15,0.139,0.13,0.121,0.111,0.1,0.1
열관류율,외벽(지붕),중부2,,,0.15,0.142,0.132,0.122,0.113,0.103,0.103
열관류율,외벽(지붕),남부,,,0.18,0.164,0.155,0.145,0.137,0.129,0.129
열관류율,외벽(지붕),제주,,,0.25,0.227,0.215,0.202,0.193,0.184,0.184
열관류율,외벽(바닥),중부1,,,0.17,0.17,0.166,0.161,0.148,0.135,0.135
열관류율,외벽(바닥),중부2,,,0.2,0.2,0.184,0.167,0.149,0.13,0.13
열관류율,외벽(바닥),남부,,,0.25,0.248,0.23,0.212,0.193,0.174,0.174
열관류율,외벽(바닥),제주,,,0.33,0.33,0.31,0.29,0.276,0.262,0.262
열관류율,외부창,중부1,,,1.3,1.237,1.128,1.019,0.952,0.884,0.884
열관류율,외부창,중부2,,,1.5,1.306,1.248,1.189,1.057,0.925,0.925
열관류율,외부창,남부,,,1.8,1.388,1.293,1.198,1.166,1.133,1.133
열관류율,외부창,제주,,,2.2,1.65,1.499,1.347,1.265,1.182,1.182
열관류율,내벽(벽체),중부1,,,0.24,0.228,0.217,0.206,0.195,0.186,0.176
열관류율,내벽(벽체),중부2,,,0.34,0.323,0.307,0.292,0.277,0.263,0.25
열관류율,내벽(벽체),남부,,,0.45,0.428,0.406,0.386,0.367,0.348,0.331
열관류율,내벽(벽체),제주,,,0.56,0.532,0.505,0.48,0.456,0.433,0.412
열관류율,내벽(지붕),중부1,,,0.21,0.2,0.19,0.18,0.171,0.162,0.154
열관류율,내벽(지붕),중부2,,,0.21,0.2,0.19,0.18,0.171,0.162,0.154
열관류율,내벽(지붕),남부,,,0.26,0.247,0.235,0.223,0.212,0.201,0.191
열관류율,내벽(지붕),제주,,,0.35,0.333,0.316,0.3,0.285,0.271,0.257
열관류율,내벽(바닥),중부1,,,0.24,0.228,0.217,0.206,0.195,0.186,0.176
열관류율,내벽(바닥),중부2,,,0.29,0.276,0.262,0.249,0.236,0.224,0.213
열관류율,내벽(바닥),남부,,,0.35,0.333,0.316,0.3,0.285,0.271,0.257
열관류율,내벽(바닥),제주,,,0.47,0.447,0.424,0.403,0.383,0.364,0.345
SHGC,외부창,중부1,,,0.516,0.516,0.516,0.448,0.448,0.374,0.374
SHGC,외부창,중부2,,,0.516,0.516,0.516,0.448,0.448,0.374,0.374
SHGC,외부창,남부,,,0.516,0.516,0.516,0.516,0.448,0.448,0.374
SHGC,외부창,제주,,,0.516,0.516,0.516,0.516,0.448,0.448,0.374
난방효율,EHP,,,A1,3.7,3.8,4,4.3,4.5,4.8,4.8
난방효율,EHP,,,A2,3.6,3.8,4,4.2,4.3,4.6,4.6
난방효율,EHP,,,A3,3.5,3.7,3.8,3.9,4.2,4.5,4.5
난방효율,EHP,,,A4,3.5,3.7,3.8,3.9,4.2,4.5,4.5
난방효율,EHP,,,A5,3.5,3.7,3.8,3.9,4.2,4.4,4.4
난방효율,GHP,,LNG,A1,1.7,1.8,1.8,1.8,1.8,1.84,1.84
난방효율,GHP,,LNG,A2,1.7,1.8,1.8,1.8,1.8,1.84,1.84
난방효율,GHP,,LNG,A3,1.5,1.6,1.6,1.7,1.8,1.84,1.84
난방효율,GHP,,LNG,A4,1.5,1.6,1.6,1.65,1.78,1.82,1.82
난방효율,GHP,,LNG,A5,1.5,1.6,1.6,1.65,1.76,1.8,1.8
난방효율,GHP,,LPG,,1.6,1.62,1.62,1.75,1.79,1.82,1.82
난방효율,보일러,,LNG,A1,0.83,0.85,0.85,0.86,0.87,0.88,0.88
난방효율,보일러,,LNG,A2,0.83,0.86,0.86,0.87,0.87,0.93,0.93
난방효율,보일러,,LNG,A3,0.83,0.86,0.86,0.87,0.9,0.95,0.95
난방효율,보일러,,LNG,A4,0.83,0.86,0.86,0.87,0.9,0.95,0.95
난방효율,보일러,,LNG,A5,0.83,0.86,0.86,0.88,0.9,0.95,0.95
난방효율,보일러,,LPG,,0.82,0.85,0.85,0.86,0.88,0.93,0.93
난방효율,보일러,,난방유,,0.82,0.85,0.85,0.86,0.88,0.9,0.9
난방효율,지역난방,,,,1,1,1,1,1,1,1
난방효율,전기보일러,,,,1,1,1,1,1,1,1
난방제어,펌프제어,,,,정압,정압,정압,변압,변압,변압,변압
냉방효율,EHP,,,A1,3,3.3,3.6,3.8,4.1,4.45,4.5
냉방효율,EHP,,,A2,2.9,3.2,3.4,3.6,3.9,4.4,4.45
냉방효율,EHP,,,A3,2.7,3,3.2,3.4,3.8,4,4.2
냉방효율,EHP,,,A4,2.7,3,3.2,3.4,3.8,4,4.2
냉방효율,EHP,,,A5,2.7,3,3.2,3.4,3.8,4,4.2
냉방효율,GHP,,,A1,1.45,1.5,1.5,1.55,1.55,1.6,1.6
냉방효율,GHP,,,A2,1.45,1.5,1.5,1.55,1.55,1.6,1.6
냉방효율,GHP,,,A3,1.4,1.45,1.5,1.55,1.6,1.62,1.62
냉방효율,GHP,,,A4,1.4,1.44,1.47,1.52,1.6,1.62,1.62
냉방효율,GHP,,,A5,1.4,1.42,1.47,1.52,1.6,1.62,1.62
냉방효율,흡수식,,LNG,,1.2,1.24,1.28,1.32,1.36,1.38,1.39
냉방효율,흡수식,,지역난방,,0.62,0.69,0.72,0.73,0.74,0.75,0.76
냉방제어,HP,,,,on/off제어,on/off제어,on/off제어,회전수제어,회전수제어,회전수제어,회전수제어
냉방제어,흡수식,,,,비제어,비제어,비제어,제어,제어,제어,제어
열회수율,난방,,,,0.7,0.71,0.72,0.73,0.74,0.76,0.76
열회수율,냉방,,,,0.45,0.52,0.54,0.57,0.62,0.64,0.64
전기,평균조명에너지부하율,,,,8,7.4,6.5,5.6,5,4.5,4.3
신재생,최대 태양광 모듈면적비,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9
