category,part,region,source,scale,Base,ZEB5,ZEB4,ZEB3,ZEB2,ZEB1,ZEB+
열관류율,외벽(벽체),중부1,,,0.150,0.150,0.150,0.146,0.146,0.144,0.144
열관류율,외벽(벽체),중부2,,,0.170,0.169,0.169,0.165,0.165,0.159,0.159
열관류율,외벽(벽체),남부,,,0.220,0.219,0.219,0.208,0.208,0.201,0.201
열관류율,외벽(벽체),제주,,,0.290,0.290,0.290,0.246,0.246,0.245,0.245
열관류율,외벽(지붕),중부1,,,0.150,0.149,0.149,0.146,0.146,0.132,0.132
열관류율,외벽(지붕),중부2,,,0.150,0.149,0.149,0.146,0.146,0.132,0.132
열관류율,외벽(지붕),남부,,,0.180,0.178,0.178,0.172,0.172,0.160,0.160
열관류율,외벽(지붕),제주,,,0.250,0.247,0.247,0.247,0.207,0.207,0.207
열관류율,외벽(바닥),중부1,,,0.150,0.147,0.147,0.143,0.143,0.140,0.140
열관류율,외벽(바닥),중부2,,,0.170,0.168,0.168,0.159,0.159,0.140,0.140
열관류율,외벽(바닥),남부,,,0.220,0.215,0.215,0.198,0.198,0.180,0.180
열관류율,외벽(바닥),제주,,,0.290,0.275,0.275,0.275,0.259,0.259,0.259
열관류율,외부창,중부1,,,0.900,0.880,0.880,0.839,0.839,0.780,0.780
열관류율,외부창,중부2,,,1.000,1.000,1.000,0.929,0.929,0.875,0.875
열관류율,외부창,남부,,,1.200,1.104,1.104,0.986,0.986,0.961,0.961
열관류율,외부창,제주,,,1.600,1.200,1.200,1.200,1.171,1.171,1.171
열관류율,내벽(벽체),중부1,,,0.210,0.204,0.194,0.184,0.175,0.166,0.158
열관류율,내벽(벽체),중부2,,,0.240,0.233,0.221,0.210,0.200,0.190,0.180
열관류율,내벽(벽체),남부,,,0.310,0.301,0.286,0.271,0.258,0.245,0.233
열관류율,내벽(벽체),제주,,,0.410,0.398,0.378,0.359,0.341,0.324,0.308
열관류율,내벽(지붕),중부1,,,0.210,0.204,0.194,0.184,0.175,0.166,0.158
열관류율,내벽(지붕),중부2,,,0.210,0.204,0.194,0.184,0.175,0.166,0.158
열관류율,내벽(지붕),남부,,,0.260,0.252,0.240,0.228,0.216,0.205,0.195
열관류율,내벽(지붕),제주,,,0.350,0.340,0.323,0.306,0.291,0.277,0.263
열관류율,내벽(바닥),중부1,,,0.210,0.204,0.194,0.184,0.175,0.166,0.158
열관류율,내벽(바닥),중부2,,,0.240,0.233,0.221,0.210,0.200,0.190,0.180
열관류율,내벽(바닥),남부,,,0.310,0.301,0.286,0.271,0.258,0.245,0.233
열관류율,내벽(바닥),제주,,,0.410,0.398,0.378,0.359,0.341,0.324,0.308
SHGC,외부창,중부1,,,0.524,0.418,0.418,0.418,0.418,0.348,0.348
SHGC,외부창,중부2,,,0.524,0.418,0.418,0.418,0.418,0.348,0.348
SHGC,외부창,남부,,,0.524,0.418,0.418,0.418,0.418,0.348,0.348
SHGC,외부창,제주,,,0.524,0.418,0.418,0.418,0.418,0.348,0.348
난방효율,보일러,,LNG,,0.830,0.840,0.850,0.860,0.870,0.880,0.890
난방효율,지역난방,,,,1.000,1.000,1.000,1.000,1.000,1.000,1.000
난방제어,펌프제어,,,,정압,정압,정압,변압,변압,변압,변압
냉방효율,EHP,,,,2.894,3.000,3.200,3.400,3.600,4.000,4.000
냉방제어,HP,,,,on/off제어,on/off제어,on/off제어,회전수제어,회전수제어,회전수제어,회전수제어
열회수율,난방,,,,0.700,0.710,0.720,0.740,0.760,0.780,0.780
열회수율,냉방,,,,0.450,0.550,0.600,0.640,0.660,0.680,0.680
전기,평균조명에너지부하율,,,,8.000,7.400,6.800,6.200,5.600,5.000,4.400
신재생,최대 태양광 모듈면적비,,,C1,0.150,0.150,0.150,0.150,0.150,0.150,0.150
신재생,최대 태양광 모듈면적비,,,C2,0.100,0.100,0.100,0.100,0.100,0.100,0.100
신재생,최대 태양광 모듈면적비,,,C3,0.050,0.050,0.050,0.050,0.050,0.050,0.050
신재생,최대 태양광 모듈면적비,,,C4,0.030,0.030,0.030,0.030,0.030,0.030,0.030
